Date,UPROSIM,LTTSIM,LTT,LTTx2,LTTx3,SPY,SPYx2,SPYx3,UPRO,TMF
1986-08-21,1.191679965,1.15373061,337.37,0.9499891627,0.9497629748,,,,,
1986-08-22,1.190488285,1.15373061,337.37,0.9497629748,0.9495368408,,,,,
1986-08-25,1.196440726,1.146808227,337.37,0.9495368408,0.9493107606,,,,,
1986-08-26,1.162940386,1.13189972,337.37,0.9493107606,0.9490847342,,,,,
1986-08-27,1.232716809,1.135295419,337.37,0.9490847342,0.9488587617,,,,,
1986-08-28,1.24011311,1.131889533,337.37,0.9488587617,0.9486328429,,,,,
1986-08-29,1.232672431,1.151131655,352.93,1.036137523,1.079663999,,,,,
1986-09-02,1.233905104,1.178758814,352.93,1.079663999,1.079406936,,,,,
1986-09-03,1.168508133,1.16343495,352.93,1.079406936,1.079149934,,,,,
1986-09-04,1.18954128,1.106426637,352.93,1.079149934,1.078892994,,,,,
1986-09-05,1.244260179,1.106426637,352.93,1.078892994,1.078636114,,,,,
1986-09-08,1.194489771,1.073233838,352.93,1.078636114,1.078379296,,,,,
1986-09-09,1.161044058,1.059281798,352.93,1.078379296,1.078122539,,,,,
1986-09-10,1.155238838,1.062459644,352.93,1.078122539,1.077865844,,,,,
1986-09-11,1.145996927,1.062459644,352.93,1.077865844,1.077609209,,,,,
1986-09-12,0.9809733693,1.027398475,352.93,1.077609209,1.077352635,,,,,
1986-09-15,0.9250578873,1.008905303,352.93,1.077352635,1.077096123,,,,,
1986-09-16,0.9398588135,1.007896398,352.93,1.077096123,1.076839671,,,,,
1986-09-17,0.9379790959,1.007896398,352.93,1.076839671,1.076583281,,,,,
1986-09-18,0.9379790959,1.026038533,352.93,1.076583281,1.076326951,,,,,
1986-09-19,0.9445449495,1.016804186,352.93,1.076326951,1.076070683,,,,,
1986-09-22,0.9426558596,0.9771488227,352.93,1.076070683,1.075814476,,,,,
1986-09-23,0.9747061589,1.005486139,352.93,1.075814476,1.07555833,,,,,
1986-09-24,0.9834785143,0.9934203049,352.93,1.07555833,1.075302244,,,,,
1986-09-25,0.9933132994,1.017262392,352.93,1.075302244,1.07504622,,,,,
1986-09-26,0.9366944414,1.023365967,352.93,1.07504622,1.074790256,,,,,
1986-09-29,0.9404412191,1.023365967,352.93,1.074790256,1.074534354,,,,,
1986-09-30,0.9122279826,1.006992111,339.8,0.9945828845,0.9543513083,,,,,
1986-10-01,0.9295603142,1.043243827,339.8,0.9543513083,0.9541240818,,,,,
1986-10-02,0.9565175633,1.058892484,339.8,0.9541240818,0.9538969094,,,,,
1986-10-03,0.9603436336,1.055715807,339.8,0.9538969094,0.953669791,,,,,
1986-10-06,0.9565022591,1.076830123,339.8,0.953669791,0.9534427268,,,,,
1986-10-07,0.9698932907,1.075753293,339.8,0.9534427268,0.9532157166,,,,,
1986-10-08,0.9650438242,1.075753293,339.8,0.9532157166,0.9529887605,,,,,
1986-10-09,0.9930300951,1.069298773,339.8,0.9529887605,0.9527618584,,,,,
1986-10-10,0.981113734,1.053259292,339.8,0.9527618584,0.9525350104,,,,,
1986-10-13,0.9771892791,1.046939736,339.8,0.9525350104,0.9523082163,,,,,
1986-10-14,0.9810980362,1.045892796,339.8,0.9523082163,0.9520814763,,,,,
1986-10-15,0.9742303499,1.023929047,339.8,0.9520814763,0.9518547902,,,,,
1986-10-16,1.017096485,1.02085726,339.8,0.9518547902,0.9516281581,,,,,
1986-10-17,1.026250354,1.023919832,339.8,0.9516281581,0.95140158,,,,,
1986-10-20,1.01598785,1.014704554,339.8,0.95140158,0.9511750558,,,,,
1986-10-21,0.9783962997,0.9893369398,339.8,0.9511750558,0.9509485855,,,,,
1986-10-22,0.9764395071,1.010113016,339.8,0.9509485855,0.9507221692,,,,,
1986-10-23,0.9803452651,1.019204033,339.8,0.9507221692,0.9504958068,,,,,
1986-10-24,1.01857873,1.034492093,339.8,0.9504958068,0.9502694983,,,,,
1986-10-27,1.004318628,1.031388617,339.8,0.9502694983,0.9500432436,,,,,
1986-10-28,1.011348859,1.042733892,339.8,0.9500432436,0.9498170428,,,,,
1986-10-29,1.018428301,1.042733892,339.8,0.9498170428,0.9495908959,,,,,
1986-10-30,1.038796867,1.055246698,339.8,0.9495908959,0.9493648029,,,,,
1986-10-31,1.075154757,1.076351632,345.89,0.9833944182,1.000183187,,,,,
1986-11-03,1.078380221,1.086038797,345.89,1.000183187,0.9999450478,,,,,
1986-11-04,1.103182966,1.107759573,345.89,0.9999450478,0.9997069656,,,,,
1986-11-05,1.108698881,1.101113016,345.89,0.9997069656,0.9994689402,,,,,
1986-11-06,1.116459773,1.097809676,345.89,0.9994689402,0.9992309714,,,,,
1986-11-07,1.107528095,1.087929389,345.89,0.9992309714,0.9989930592,,,,,
1986-11-10,1.107528095,1.06834666,345.89,0.9989930592,0.9987552038,,,,,
1986-11-11,1.113065736,1.054458154,345.89,0.9987552038,0.9985174049,,,,,
1986-11-12,1.125309459,1.054458154,345.89,0.9985174049,0.9982796627,,,,,
1986-11-13,1.118557602,1.063948277,345.89,0.9982796627,0.998041977,,,,,
1986-11-14,1.069341067,1.076715657,345.89,0.998041977,0.997804348,,,,,
1986-11-17,1.089658548,1.086406097,345.89,0.997804348,0.9975667755,,,,,
1986-11-18,1.072224011,1.101615783,345.89,0.9975667755,0.9973292596,,,,,
1986-11-19,0.9875183141,1.107123862,345.89,0.9973292596,0.9970918003,,,,,
1986-11-20,0.9973934973,1.125944967,345.89,0.9970918003,0.9968543975,,,,,
1986-11-21,1.05225014,1.122567132,345.89,0.9968543975,0.9966170512,,,,,
1986-11-24,1.101705896,1.125934834,345.89,0.9966170512,0.9963797614,,,,,
1986-11-25,1.123740014,1.131564508,345.89,0.9963797614,0.9961425281,,,,,
1986-11-26,1.131606194,1.124775121,345.89,0.9961425281,0.9959053513,,,,,
1986-11-28,1.139527438,1.121400796,352.24,1.032471884,1.05051803,,,,,
1986-12-01,1.145225075,1.14158601,352.24,1.05051803,1.050267907,,,,,
1986-12-02,1.142934625,1.133594908,352.24,1.050267907,1.050017843,,,,,
1986-12-03,1.211510702,1.146064452,352.24,1.050017843,1.049767839,,,,,
1986-12-04,1.20787617,1.168985741,352.24,1.049767839,1.049517894,,,,,
1986-12-05,1.197005284,1.181844584,352.24,1.049517894,1.049268009,,,,,
1986-12-08,1.169474163,1.167662449,352.24,1.049268009,1.049018183,,,,,
1986-12-09,1.169474163,1.162991799,352.24,1.049018183,1.048768417,,,,,
1986-12-10,0.9250540629,1.159502824,352.24,1.048768417,1.04851871,,,,,
1986-12-11,0.9435551441,1.165300338,352.24,1.04851871,1.048269063,,,,,
1986-12-12,0.9124178244,1.17112684,352.24,1.048269063,1.048019475,,,,,
1986-12-15,0.9023812283,1.150046557,352.24,1.048019475,1.047769946,,,,,
1986-12-16,0.9114050406,1.14544637,352.24,1.047769946,1.047520477,,,,,
1986-12-17,0.9314559515,1.142010031,352.24,1.047520477,1.047271068,,,,,
1986-12-18,0.9035122729,1.147720081,352.24,1.047271068,1.047021717,,,,,
1986-12-19,0.8944771502,1.147720081,352.24,1.047021717,1.046772426,,,,,
1986-12-22,0.9257838505,1.150015521,352.24,1.046772426,1.046523195,,,,,
1986-12-23,0.9137486604,1.152315553,352.24,1.046523195,1.046274023,,,,,
1986-12-24,0.8863362006,1.154620184,352.24,1.046274023,1.04602491,,,,,
1986-12-26,0.892540554,1.160393285,352.24,1.04602491,1.045775856,,,,,
1986-12-29,0.8934330945,1.155751711,352.24,1.045775856,1.045526862,,,,,
1986-12-30,0.8684169679,1.151128705,352.24,1.045526862,1.045277927,,,,,
1986-12-31,0.8232592856,1.126955002,352.01,1.04391287,1.042981465,,,,,
1987-01-02,0.810087137,1.135970642,352.01,1.042981465,1.042733136,,,,,
1987-01-05,0.8538318424,1.155282143,352.01,1.042733136,1.042484866,,,,,
1987-01-06,0.9127462395,1.161058553,352.01,1.042484866,1.042236656,,,,,
1987-01-07,0.9191354632,1.166863846,352.01,1.042236656,1.041988504,,,,,
1987-01-08,0.9457903916,1.176198757,352.01,1.041988504,1.041740412,,,,,
1987-01-09,0.9665977802,1.185608347,352.01,1.041740412,1.041492378,,,,,
1987-01-12,0.9830299425,1.182051522,352.01,1.041492378,1.041244404,,,,,
1987-01-13,0.9997414515,1.193872037,352.01,1.041244404,1.040996489,,,,,
1987-01-14,0.9947427443,1.183127189,352.01,1.040996489,1.040748632,,,,,
1987-01-15,1.025579769,1.176028426,352.01,1.040748632,1.040500835,,,,,
1987-01-16,1.058398322,1.168972255,352.01,1.040500835,1.040253097,,,,,
1987-01-19,1.067923907,1.174817116,352.01,1.040253097,1.040005417,,,,,
